STT,English_Name,Vietnamese_Name
1,distention_of_abdomen,chướng bụng
2,nodal_skin_eruptions,nổi cục trên da
3,sweating,đổ mồ hôi
4,puffy_face_and_eyes,mặt và mắt phù nề
5,stomach_pain,đau dạ dày / đau thượng vị
6,knee_pain,đau đầu gối
7,enlarged_thyroid,bướu cổ / tuyến giáp phì đại
8,red_spots_over_body,chấm đỏ khắp người
9,ulcers_on_tongue,loét lưỡi
10,swollen_blood_vessels,mạch máu sưng / nổi
11,irritation_in_anus,kích ứng hậu môn
12,mild_fever,sốt nhẹ
13,blurred_and_distorted_vision,nhìn mờ và biến dạng
14,muscle_wasting,teo cơ
15,lethargy,hôn mê / uể oải
16,palpitations,đánh trống ngực
17,pain_in_anal_region,đau vùng hậu môn
18,pain_behind_the_eyes,đau sau hốc mắt
19,dischromic _patches,mảng da đổi màu
20,belly_pain,đau bụng
21,muscle_pain,đau cơ
22,drying_and_tingling_lips,khô và tê môi
23,loss_of_balance,mất thăng bằng
24,skin_rash,phát ban
25,mood_swings,thay đổi tâm trạng
26,altered_sensorium,rối loạn ý thức
27,back_pain,đau lưng
28,pus_filled_pimples,mụn mủ
29,red_sore_around_nose,vết đỏ/loét quanh mũi
30,foul_smell_of urine,nước tiểu có mùi hôi
31,watering_from_eyes,chảy nước mắt
32,spinning_movements,cảm giác xoay tròn
33,irregular_sugar_level,đường huyết bất thường
34,constipation,táo bón
35,acute_liver_failure,suy gan cấp
36,blackheads,mụn đầu đen
37,redness_of_eyes,đỏ mắt
38,cramps,chuột rút
39,small_dents_in_nails,rỗ móng
40,swelled_lymph_nodes,hạch bạch huyết sưng
41,breathlessness,khó thở
42,bloody_stool,đi ngoài ra máu
43,acidity,ợ chua
44,coma,hôn mê
45,loss_of_smell,mất khứu giác
46,blister,mụn nước
47,malaise,khó chịu / mệt mỏi
48,prominent_veins_on_calf,nổi rõ tĩnh mạch ở bắp chân
49,obesity,béo phì
50,burning_micturition,tiểu buốt
51,visual_disturbances,rối loạn thị giác
52,indigestion,khó tiêu
53,vomiting,nôn mửa
54,bruising,bầm tím
55,weakness_in_limbs,yếu chi
56,excessive_hunger,đói cồn cào
57,anxiety,lo âu
58,brittle_nails,móng giòn
59,toxic_look_(typhos),vẻ mặt nhiễm độc
60,inflammatory_nails,viêm móng
61,chills,ớn lạnh
62,yellowish_skin,da vàng
63,unsteadiness,loạng choạng
64,weakness_of_one_body_side,yếu nửa người
65,sinus_pressure,áp lực xoang
66,lack_of_concentration,thiếu tập trung
67,phlegm,đờm
68,weight_loss,sụt cân
69,pain_during_bowel_movements,đau khi đi đại tiện
70,bladder_discomfort,khó chịu bàng quang
71,nausea,buồn nôn
72,spotting_ urination,tiểu rắt
73,congestion,nghẹt mũi
74,swollen_legs,chân sưng
75,dizziness,chóng mặt
76,hip_joint_pain,đau khớp háng
77,yellowing_of_eyes,vàng mắt
78,muscle_weakness,yếu cơ
79,mucoid_sputum,đờm nhầy
80,cough,ho
81,stomach_bleeding,xuất huyết dạ dày
82,joint_pain,đau khớp
83,movement_stiffness,cứng khớp
84,swelling_joints,sưng khớp
85,swelling_of_stomach,bụng trướng
86,irritability,cáu kỉnh
87,silver_like_dusting,vảy trắng như bạc
88,high_fever,sốt cao
89,polyuria,tiểu nhiều
90,passage_of_gases,trung tiện
91,neck_pain,đau cổ
92,painful_walking,đi lại đau
93,sunken_eyes,mắt trũng
94,abnormal_menstruation,kinh nguyệt bất thường
95,itching,ngứa
96,yellow_urine,nước tiểu vàng
97,patches_in_throat,mảng ở họng
98,cold_hands_and_feets,tay chân lạnh
99,yellow_crust_ooze,rỉ dịch vàng đóng vảy
100,skin_peeling,bong tróc da
101,receiving_blood_transfusion,đã truyền máu
102,stiff_neck,cứng cổ
103,continuous_feel_of_urine,luôn cảm thấy buồn tiểu
104,scurring,đóng vảy tiết / có vảy
105,loss_of_appetite,chán ăn
106,runny_nose,chảy nước mũi
107,family_history,tiền sử gia đình
108,fatigue,mệt mỏi
109,fluid_overload,ứ dịch
110,blood_in_sputum,đờm có máu
111,restlessness,bồn chồn
112,fast_heart_rate,nhịp tim nhanh
113,dehydration,mất nước
114,dark_urine,nước tiểu sẫm màu
115,internal_itching,ngứa trong người
116,increased_appetite,tăng cảm giác thèm ăn
117,slurred_speech,nói ngọng
118,headache,đau đầu
119,depression,trầm cảm
120,abdominal_pain,đau bụng
121,diarrhoea,tiêu chảy
122,shivering,run
123,swollen_extremeties,sưng chi
124,continuous_sneezing,hắt hơi liên tục
125,chest_pain,đau ngực
126,rusty_sputum,đờm màu gỉ sắt
127,weight_gain,tăng cân
128,receiving_unsterile_injections,đã tiêm chích không vô trùng
129,throat_irritation,kích ứng cổ họng
130,history_of_alcohol_consumption,tiền sử uống rượu
131,extra_marital_contacts,quan hệ tình dục ngoài hôn nhân